Day,Date,Title,Assignment,Lecture,Note
Wednesday,5/7/2025,Introduction to Advanced Web Development,Linkedin Learning GIT,AI agile and git,
Monday,5/12/2025,AI React Router,Install Node & checkout server and run server locally,"Node, JavaScript, TypeScript and Dart & testing and debugging",
Wednesday,5/14/2025,Framework Elements,Design a tech stack,Perfect Framework - Intro To Frameworks & Individual Assignments,
Monday,5/19/2025,Project 1 - Tools For Class,Individual Assignment,Project 1 Intro,
Wednesday,5/21/2025,,,Artificial Intelligence & Ethics,
Monday,5/26/2025,Holiday - Memorial Day,,,
Wednesday,5/28/2025,Presentations - Project 1,Group Assignment Due,,
Monday,6/2/2025,Project 2 - Artificial Intelligence,Individual Assignment,Project 2 Intro,
Wednesday,6/4/2025,,,"DB in 10 Minutes, Document Store, Local SQL, Secure Document Store, Multi-tenancy",
Monday,6/9/2025,,,Rest APIs & PUB Sub & graphql,
Wednesday,6/11/2025,Presentations - Project 2,Group Assignment Due,,
Monday,6/16/2025,Holiday Juneteenth,,,
Wednesday,6/18/2025,,Individual Assignment,Project 3 intro,
Monday,6/23/2025,Project 3 - Tell a Story,,State Chart Pattern,
Wednesday,6/25/2025,,,"MQTT, Web Sockets, ",
Monday,6/30/2025,,,PRPL - service worker & DB in 10 Minutes,
Wednesday,7/2/2025,,,,Forth of July - Weekend
Monday,7/7/2025,Presentations - Project 3,Group Assignment Due,Project 4 intro,
Wednesday,7/9/2025,Project 4 - Game Part 1,Individual Assignment,Enterprise Messaging Patern,
Monday,7/14/2025,,,"Command, and Interpreter, Model Driven Architecture",
Wednesday,7/16/2025,,,Guest Presentation,
Monday,7/21/2025,Presentations - Game Part 1,Group Assignment Due,,
Wednesday,7/23/2025,Project 5 - Final Project - Game Part 2,Individual Assignment,Project 5 intro,24th of July Tomorrow
Monday,7/28/2025,,,Audio/Video/WebRTC/USB/Bluetooth/Camera,
Wednesday,7/30/2025,,,Public Key Infrastructure,
Monday,8/4/2025,,,Design Patterns,
Wednesday,8/6/2025,Final Presentation - Game Part 2,Group Assignment Due,,
